combo,a
CdCo,-0.162075607659397
CdCu,-1.58679699713478
CdMn,1.25282849631627
CdNi,0.871357733434069
CdZn,0.203642123681178
CoCu,-2.40646169432415
CoMn,1.93224209374534
CoNi,0.823610062812481
CoZn,-0.0179022990282753
CuMn,3.25268510421784
CuNi,-0.978807980841303
CuZn,-1.75730535585554
MnNi,2.24442852504318
MnZn,2.67889618466714
NiZn,1.04985388133132
