"","trial","combo","conc","met1_r","combo_r","met2_r","delta_r"
"131","one","MnZn","1",0.29510849297032,0.23971817367426,0.246538752035619,0.114855006152088
"132","one","MnZn","2",0.19475013886272,0.197179743325708,0.218026818221695,0.0446184558437783
"133","one","MnZn","3",0.131579599657594,0.155923958237529,0.165693979309323,-0.0490266829591419
"134","one","MnZn","4",0.0886745117889554,0.098893045191728,0.100492484766956,-0.0455634121409587
"135","one","MnZn","5",0.0534167974963751,0.0755839218768983,0.03945444183584,-0.627714293905839
"136","two","MnZn","1",0.270009283653838,0.222373290087452,0.239054902859137,0.126344787243115
"137","two","MnZn","2",0.19460676478622,0.179473977561055,0.208513513752506,0.109576039133377
"138","two","MnZn","3",0.13010547147696,0.147328177679817,0.157958043470185,-0.0228867595873743
"139","two","MnZn","4",0.0865438507580141,0.0885365418312744,0.103813710822243,0.0697869725133397
"140","two","MnZn","5",0.0516089932900421,0.0456509217353999,0.0546081163732559,0.140422444555107
"141","one","NiZn","1",0.336363001141038,0.101051327675942,0.246538752035619,0.65328178505129
"142","one","NiZn","2",0.28955714473089,0.0587506352160242,0.218026818221695,0.768508701991783
"143","one","NiZn","3",0.167071289214338,0.0470567113682504,0.165693979309323,0.717177747683698
"144","one","NiZn","4",0.0781308208908094,0.0237716521467313,0.100492484766956,0.733834820051123
"145","one","NiZn","5",0.0484294906233362,0.0127495765537648,0.03945444183584,0.709854208909298
"146","two","NiZn","1",0.328164684013088,0.0809794138523223,0.239054902859137,0.714468908597248
"147","two","NiZn","2",0.296481210032562,0.0428755416577905,0.208513513752506,0.830194100499003
"148","two","NiZn","3",0.118609038035622,0.0221857403263452,0.157958043470185,0.839563405698525
"149","two","NiZn","4",0.0901283995491386,0.0175677753011527,0.103813710822243,0.818834854715027
"150","two","NiZn","5",0.0383029330142115,0.0138386324251745,0.0546081163732559,0.702110082354937
