well,metal,conc,yeast,replicate
Well.205,CdNi,4,OLY077,2
Well.206,CdZn,5,BLANK,1
Well.207,CoCu,2,OLY077,3
Well.208,CuMn,1,BLANK,1
Well.209,CoZn,4,OLY077,2
Well.210,MnZn,4,OLY077,2
Well.211,Co,3,OLY077,1
Well.212,CoMn,2,OLY077,2
Well.213,Ni,2,OLY077,1
Well.214,MnNi,3,OLY077,1
Well.215,CuZn,2,BLANK,1
Well.216,CuNi,5,OLY077,1
Well.217,CdCo,5,OLY077,3
Well.218,Zn,5,BLANK,1
Well.219,MnZn,3,OLY077,1
Well.220,CoMn,4,BLANK,1
Well.221,CoNi,3,OLY077,1
Well.222,CdMn,1,OLY077,1
Well.223,CdCo,3,BLANK,1
Well.224,CoZn,1,BLANK,1
Well.225,CuNi,1,OLY077,3
Well.226,CdMn,3,OLY077,1
Well.227,MnZn,3,BLANK,1
Well.228,Cd,3,BLANK,1
Well.229,CoNi,1,OLY077,2
Well.230,Ni,4,OLY077,2
Well.231,Mn,2,OLY077,2
Well.232,CuNi,5,OLY077,3
Well.233,CoCu,4,OLY077,2
Well.234,CuNi,5,OLY077,2
Well.235,MnZn,5,OLY077,2
Well.236,Cd,5,BLANK,1
Well.237,MnNi,4,OLY077,3
Well.238,Mn,1,OLY077,1
Well.239,CoMn,5,BLANK,1
Well.240,Cu,4,OLY077,1
Well.241,CuZn,1,BLANK,1
Well.242,CoNi,2,OLY077,1
Well.243,CdCo,2,BLANK,1
Well.244,CuMn,5,BLANK,1
Well.245,NiZn,4,OLY077,1
Well.246,MnNi,4,OLY077,1
Well.247,NiZn,4,BLANK,1
Well.248,CuMn,2,BLANK,1
Well.249,CoZn,2,OLY077,3
Well.250,CdMn,5,OLY077,3
Well.251,Ni,5,BLANK,1
Well.252,CdMn,5,OLY077,2
Well.253,CdCo,4,OLY077,3
Well.254,MnZn,4,OLY077,1
Well.255,CuZn,2,OLY077,3
Well.256,CoMn,2,BLANK,1
Well.257,CdMn,1,OLY077,1
Well.258,Cd,5,OLY077,1
Well.259,NiZn,1,OLY077,3
Well.260,CdCu,4,OLY077,1
Well.261,CdZn,4,OLY077,3
Well.262,NiZn,1,OLY077,1
Well.263,Zn,4,BLANK,1
Well.264,CdMn,4,OLY077,3
Well.265,Ni,2,BLANK,1
Well.266,MnZn,3,OLY077,3
Well.267,CuZn,3,OLY077,1
Well.268,NiZn,2,OLY077,1
Well.269,MnNi,1,OLY077,2
Well.270,Co,3,BLANK,1
Well.271,CoMn,1,BLANK,1
Well.272,MnNi,3,OLY077,2
Well.273,CdCu,2,OLY077,1
Well.274,CoCu,5,BLANK,1
Well.275,CuZn,2,OLY077,2
Well.276,CoCu,5,OLY077,3
Well.277,Mn,4,OLY077,2
Well.278,MnZn,2,OLY077,3
Well.279,CoNi,1,OLY077,1
Well.280,Ni,5,OLY077,2
Well.281,CuZn,5,OLY077,2
Well.282,Cd,4,BLANK,1
Well.283,Zn,1,OLY077,2
Well.284,CoCu,1,OLY077,1
Well.285,CdMn,4,OLY077,2
Well.286,NiZn,2,BLANK,1
Well.287,CdCu,1,OLY077,2
Well.288,MnZn,2,OLY077,1
Well.289,CdNi,2,BLANK,1
Well.290,CoCu,2,OLY077,2
Well.291,CdCu,1,OLY077,3
Well.292,Mn,3,OLY077,2
Well.293,Zn,5,OLY077,2
Well.294,Mn,3,OLY077,1
Well.295,CuNi,4,OLY077,3
Well.296,Co,2,OLY077,2
Well.297,CuZn,2,OLY077,1
Well.298,CdCo,1,OLY077,3
Well.299,CuZn,1,OLY077,3
Well.300,MnZn,5,BLANK,1
