well,metal,conc,yeast,replicate
Well.101,NiZn,3,OLY077,1
Well.102,CdMn,1,BLANK,1
Well.103,CoZn,2,OLY077,1
Well.104,NiZn,3,OLY077,3
Well.105,CoZn,2,OLY077,2
Well.106,Mn,1,BLANK,1
Well.107,YPAD,0,OLY077,2
Well.108,CdCo,1,OLY077,1
Well.109,CuMn,2,OLY077,2
Well.110,Cd,3,OLY077,2
Well.111,CuZn,4,BLANK,1
Well.112,Cd,1,BLANK,1
Well.113,MnZn,3,OLY077,2
Well.114,CdCo,2,OLY077,2
Well.115,Cu,4,BLANK,1
Well.116,YPAD,0,BLANK,1
Well.117,CuNi,4,BLANK,1
Well.118,CoMn,1,OLY077,2
Well.119,Co,5,BLANK,1
Well.120,NiZn,2,OLY077,2
Well.121,CuNi,3,OLY077,2
Well.122,CoMn,2,OLY077,1
Well.123,CdZn,4,OLY077,1
Well.124,CoNi,1,OLY077,3
Well.125,Cu,3,OLY077,1
Well.126,CuNi,2,OLY077,2
Well.127,MnNi,1,OLY077,3
Well.128,Cu,2,BLANK,1
Well.129,CoNi,5,OLY077,1
Well.130,CoCu,1,BLANK,1
Well.131,Cu,2,OLY077,2
Well.132,CdCu,4,OLY077,3
Well.133,CoMn,2,OLY077,3
Well.134,CoZn,4,OLY077,3
Well.135,CoMn,1,OLY077,3
Well.136,CuMn,5,OLY077,3
Well.137,CuNi,5,BLANK,1
Well.138,CdCu,3,OLY077,3
Well.139,CuNi,3,OLY077,1
Well.140,MnZn,1,BLANK,1
Well.141,CuMn,4,BLANK,1
Well.142,CdZn,2,OLY077,3
Well.143,CoCu,1,OLY077,3
Well.144,CoZn,1,OLY077,2
Well.145,Ni,1,OLY077,1
Well.146,CuNi,1,BLANK,1
Well.147,Co,4,OLY077,2
Well.148,Cu,3,BLANK,1
Well.149,CuZn,3,BLANK,1
Well.150,CoNi,3,BLANK,1
Well.151,CdNi,1,BLANK,1
Well.152,Zn,4,OLY077,1
Well.153,Cd,2,OLY077,2
Well.154,CuZn,4,OLY077,2
Well.155,Zn,3,OLY077,2
Well.156,CdZn,5,OLY077,3
Well.157,Ni,3,OLY077,2
Well.158,Cd,3,OLY077,1
Well.159,Zn,2,BLANK,1
Well.160,CoNi,4,OLY077,2
Well.161,CoZn,5,OLY077,1
Well.162,CdCu,5,OLY077,3
Well.163,Zn,2,OLY077,1
Well.164,Mn,5,OLY077,1
Well.165,MnNi,2,OLY077,1
Well.166,CdNi,3,OLY077,2
Well.167,Ni,5,OLY077,1
Well.168,CuNi,3,BLANK,1
Well.169,CdZn,1,BLANK,1
Well.170,MnNi,1,BLANK,1
Well.171,CdZn,4,OLY077,2
Well.172,CdCo,4,OLY077,1
Well.173,CoNi,5,BLANK,1
Well.174,CdCo,5,OLY077,1
Well.175,MnNi,5,OLY077,2
Well.176,CdCo,3,OLY077,1
Well.177,CoNi,4,OLY077,1
Well.178,Cd,2,OLY077,1
Well.179,MnZn,5,OLY077,3
Well.180,CuNi,2,OLY077,3
Well.181,CdCu,5,OLY077,2
Well.182,CdCo,5,OLY077,2
Well.183,MnZn,5,OLY077,1
Well.184,Mn,4,OLY077,1
Well.185,CoZn,2,BLANK,1
Well.186,CoZn,3,OLY077,3
Well.187,MnZn,2,OLY077,2
Well.188,CdNi,5,OLY077,3
Well.189,NiZn,3,OLY077,2
Well.190,CoNi,1,BLANK,1
Well.191,CoZn,3,OLY077,2
Well.192,CuZn,4,OLY077,1
Well.193,CdZn,1,OLY077,2
Well.194,CdMn,1,OLY077,3
Well.195,CuMn,5,OLY077,2
Well.196,Cu,1,OLY077,2
Well.197,CoCu,4,BLANK,1
Well.198,CoMn,4,OLY077,3
Well.199,CdZn,2,OLY077,2
Well.200,Mn,2,OLY077,1
Well.201,MnNi,4,BLANK,1
Well.202,CdNi,2,OLY077,3
Well.203,Cd,2,BLANK,1
Well.204,CuZn,3,OLY077,3
