well,metal,conc,yeast,replicate
Well.101,CoNi,3,OLY077,3
Well.102,CuMn,5,OLY077,1
Well.103,Cd,3,OLY077,2
Well.104,Cd,2,OLY077,1
Well.105,CoCu,2,OLY077,1
Well.106,CdNi,1,OLY077,1
Well.107,CuMn,1,OLY077,3
Well.108,CdMn,2,OLY077,3
Well.109,CdNi,3,BLANK,1
Well.110,Co,1,OLY077,2
Well.111,CdCu,3,OLY077,1
Well.112,Cu,1,OLY077,2
Well.113,Cu,2,OLY077,2
Well.114,Ni,5,OLY077,1
Well.115,CoZn,5,BLANK,1
Well.116,CoCu,2,OLY077,3
Well.117,CoCu,1,OLY077,3
Well.118,CdCo,5,OLY077,2
Well.119,NiZn,1,BLANK,1
Well.120,CdZn,4,OLY077,1
Well.121,CoMn,1,OLY077,2
Well.122,CuMn,1,BLANK,1
Well.123,NiZn,2,OLY077,1
Well.124,Mn,2,OLY077,2
Well.125,CoZn,1,OLY077,3
Well.126,CoZn,4,OLY077,1
Well.127,CoCu,5,OLY077,1
Well.128,CuNi,1,OLY077,3
Well.129,NiZn,1,OLY077,3
Well.130,CdZn,1,OLY077,2
Well.131,CdZn,2,BLANK,1
Well.132,Ni,4,OLY077,2
Well.133,CdCo,3,BLANK,1
Well.134,CdNi,2,OLY077,3
Well.135,CoNi,2,OLY077,3
Well.136,Mn,2,OLY077,1
Well.137,CdMn,3,BLANK,1
Well.138,CdMn,3,OLY077,1
Well.139,Ni,2,OLY077,2
Well.140,CuMn,3,OLY077,1
Well.141,Zn,5,OLY077,1
Well.142,Ni,5,OLY077,2
Well.143,CdMn,2,OLY077,1
Well.144,CdNi,3,OLY077,2
Well.145,CdCo,1,OLY077,3
Well.146,CuNi,1,BLANK,1
Well.147,CdMn,3,OLY077,3
Well.148,CoMn,2,BLANK,1
Well.149,NiZn,3,BLANK,1
Well.150,CdCu,1,OLY077,2
Well.151,CdNi,2,OLY077,1
Well.152,CoCu,3,BLANK,1
Well.153,CdCo,5,OLY077,3
Well.154,MnNi,2,OLY077,2
Well.155,Ni,1,OLY077,1
Well.156,CdZn,3,BLANK,1
Well.157,CoMn,3,OLY077,2
Well.158,CuZn,3,OLY077,1
Well.159,CdZn,1,OLY077,1
Well.160,CoZn,2,BLANK,1
Well.161,MnZn,4,OLY077,2
Well.162,Zn,3,OLY077,2
