well,metal,conc,yeast,replicate
Well.163,Cu,5,BLANK,1
Well.164,CuNi,2,OLY077,3
Well.165,Cu,3,BLANK,1
Well.166,NiZn,5,OLY077,1
Well.167,CoMn,5,BLANK,1
Well.168,CdCo,3,OLY077,3
Well.169,CuZn,2,BLANK,1
Well.170,Mn,3,OLY077,1
Well.171,CoMn,3,OLY077,1
Well.172,Zn,1,BLANK,1
Well.173,Ni,2,BLANK,1
Well.174,CdZn,4,OLY077,3
Well.175,Cu,3,OLY077,1
Well.176,CuMn,5,BLANK,1
Well.177,NiZn,3,OLY077,3
Well.178,Ni,3,OLY077,1
Well.179,CoNi,1,OLY077,2
Well.180,CoMn,4,OLY077,3
Well.181,Ni,3,BLANK,1
Well.182,CdZn,5,OLY077,1
Well.183,CdCo,4,OLY077,1
Well.184,CoMn,5,OLY077,3
Well.185,Co,5,OLY077,2
Well.186,MnZn,1,OLY077,3
Well.187,CdNi,5,OLY077,2
Well.188,CdMn,5,OLY077,3
Well.189,NiZn,4,OLY077,3
Well.190,Mn,1,BLANK,1
Well.191,CuMn,2,BLANK,1
Well.192,CoZn,3,OLY077,2
Well.193,Cu,4,OLY077,1
Well.194,Co,4,BLANK,1
Well.195,CdCu,3,OLY077,3
Well.196,CdNi,2,OLY077,2
Well.197,CdNi,3,OLY077,1
Well.198,MnNi,5,BLANK,1
Well.199,CuZn,5,OLY077,2
Well.200,NiZn,3,OLY077,1
Well.201,CuZn,2,OLY077,2
Well.202,CdMn,1,OLY077,2
Well.203,CuMn,4,OLY077,3
Well.204,Zn,4,BLANK,1
Well.205,Co,4,OLY077,2
Well.206,MnZn,4,OLY077,3
Well.207,CdZn,4,OLY077,2
Well.208,CuNi,5,BLANK,1
Well.209,Zn,5,OLY077,2
Well.210,CuZn,5,OLY077,1
Well.211,CdZn,2,OLY077,1
Well.212,CdCo,3,OLY077,2
Well.213,CuNi,1,OLY077,1
Well.214,CoMn,2,OLY077,2
Well.215,CdNi,5,OLY077,3
Well.216,CuMn,4,OLY077,1
Well.217,Cd,1,OLY077,2
Well.218,CdNi,4,OLY077,3
Well.219,CdZn,2,OLY077,2
Well.220,NiZn,3,OLY077,2
Well.221,CdCo,2,BLANK,1
Well.222,CoNi,3,OLY077,1
Well.223,MnZn,3,OLY077,1
Well.224,CdCu,3,BLANK,1
Well.225,CoMn,5,OLY077,2
Well.226,CoNi,4,BLANK,1
Well.227,CoZn,3,BLANK,1
Well.228,CuZn,4,OLY077,1
Well.229,MnZn,2,OLY077,2
Well.230,CoMn,1,OLY077,3
Well.231,CdNi,1,OLY077,2
Well.232,MnNi,2,BLANK,1
Well.233,CdCu,4,BLANK,1
Well.234,MnNi,3,OLY077,3
Well.235,Ni,4,OLY077,1
Well.236,CoNi,3,BLANK,1
Well.237,YPAD,0,OLY077,5
Well.238,CoMn,4,OLY077,1
Well.239,CoMn,2,OLY077,3
Well.240,MnZn,4,BLANK,1
Well.241,CuNi,3,BLANK,1
Well.242,CuMn,3,BLANK,1
Well.243,CdCu,5,OLY077,3
Well.244,NiZn,4,OLY077,2
Well.245,CoZn,5,OLY077,2
Well.246,CdZn,1,OLY077,3
Well.247,Ni,1,BLANK,1
Well.248,MnZn,2,OLY077,1
Well.249,CuNi,5,OLY077,1
Well.250,CuNi,3,OLY077,2
Well.251,MnZn,5,OLY077,2
Well.252,Ni,1,OLY077,2
Well.253,CdNi,2,BLANK,1
Well.254,CoMn,3,BLANK,1
Well.255,NiZn,5,OLY077,2
Well.256,Co,5,BLANK,1
Well.257,CuZn,5,BLANK,1
Well.258,CoCu,5,OLY077,3
Well.259,CdNi,3,OLY077,3
Well.260,CuMn,2,OLY077,1
Well.261,YPAD,0,BLANK,2
Well.262,CdMn,4,OLY077,1
Well.263,CdCo,4,OLY077,2
Well.264,MnNi,4,OLY077,2
Well.265,CdCu,2,OLY077,2
Well.266,NiZn,2,BLANK,1
Well.267,CdCu,5,OLY077,2
Well.268,CuZn,2,OLY077,3
Well.269,Mn,5,OLY077,2
Well.270,Zn,2,BLANK,1
Well.271,CuMn,1,OLY077,2
Well.272,CuZn,3,BLANK,1
Well.273,CoNi,5,OLY077,1
Well.274,CuZn,1,BLANK,1
Well.275,CuNi,4,OLY077,2
Well.276,MnNi,5,OLY077,1
Well.277,CdMn,5,OLY077,2
Well.278,CoNi,5,OLY077,3
Well.279,CoNi,4,OLY077,3
Well.280,CoCu,3,OLY077,1
Well.281,NiZn,2,OLY077,3
Well.282,Cd,1,BLANK,1
Well.283,MnZn,2,BLANK,1
Well.284,CdMn,3,OLY077,2
Well.285,CoZn,1,OLY077,1
Well.286,CdMn,5,BLANK,1
Well.287,Zn,4,OLY077,1
Well.288,CoCu,1,OLY077,2
Well.289,Co,2,OLY077,1
Well.290,NiZn,1,OLY077,2
Well.291,CdMn,4,OLY077,3
Well.292,Zn,1,OLY077,1
Well.293,CdCo,1,OLY077,1
Well.294,CoCu,4,OLY077,2
Well.295,MnNi,3,OLY077,1
Well.296,CdZn,5,OLY077,3
Well.297,Co,4,OLY077,1
Well.298,MnNi,4,OLY077,3
Well.299,Mn,4,BLANK,1
Well.300,CdCu,4,OLY077,1
