well,metal,conc,yeast,replicate
Well.270,CoMn,3,OLY077,1
Well.271,CuMn,3,BLANK,1
Well.272,MnNi,1,OLY077,1
Well.273,Zn,1,OLY077,1
Well.274,CoCu,4,OLY077,1
Well.275,CdMn,2,BLANK,1
Well.276,CoCu,3,BLANK,1
Well.277,CuZn,1,OLY077,1
Well.278,CoNi,2,OLY077,2
Well.279,MnZn,4,BLANK,1
Well.280,MnNi,3,OLY077,3
Well.281,YPAD,0,OLY077,5
Well.282,Co,3,OLY077,2
Well.283,Cd,1,OLY077,2
Well.284,MnZn,1,OLY077,1
Well.285,Cu,5,OLY077,2
Well.286,Mn,2,BLANK,1
Well.287,CdZn,3,OLY077,1
Well.288,CdNi,1,OLY077,2
Well.289,Co,2,BLANK,1
Well.290,Cd,1,OLY077,1
Well.291,CdCu,5,BLANK,1
Well.292,CdCo,4,OLY077,2
Well.293,CdCu,4,OLY077,2
Well.294,CuMn,1,OLY077,2
Well.295,NiZn,5,OLY077,3
Well.296,MnNi,5,OLY077,1
Well.297,CuNi,2,OLY077,1
Well.298,CoMn,3,OLY077,3
Well.299,CoZn,5,BLANK,1
Well.300,CdCo,4,BLANK,1
