metal,conc,trial1_mM,trial2_mM
Cd,1,0.005,0.008
Cd,2,0.01,0.011
Cd,3,0.016,0.017
Cd,4,0.022,0.026
Cd,5,0.027,0.038
Co,1,0.5,0.7
Co,2,0.85,0.86
Co,3,0.9,1
Co,4,0.95,1.32
Co,5,1.3,2.05
Cu,1,4,8.83
Cu,2,8.83,10.17
Cu,3,10.17,10.83
Cu,4,10.85,12
Cu,5,12.9,13.5
Mn,1,0.85,0.86
Mn,2,1,1.14
Mn,3,1.14,1.31
Mn,4,1.25,1.66
Mn,5,1.6,2.23
Ni,1,2.3,1.88
Ni,2,2.6,2.4
Ni,3,2.75,3
Ni,4,3,3.6
Ni,5,3.2,5.1
Zn,1,3.33,4
Zn,2,4,4.75
Zn,3,4.8,5.4
Zn,4,5.4,6
Zn,5,6,6.6
